Continent,acq_date,Collections,Total,,,,,,,,,,,,,,,,,
AM,1908,160,33063,,,,,,,,,,,,,,,,,
AM,1909,501,33063,,,,,,,,,,,,,,,,,
AM,1910,49,33063,,,,,,,,,,,,,,,,,
AM,1911,76,33063,,,,,,,,,,,,,,,,,
AM,1912,90,33063,,,,,,,,,,,,,,,,,
AM,1913,22,33063,,,,,,,,,,,,,,,,,
AM,1914,237,33063,,,,,,,,,,,,,,,,,
AM,1915,16,33063,,,,,,,,,,,,,,,,,
AM,1916,180,33063,,,,,,,,,,,,,,,,,
AM,1918,1,33063,,,,,,,,,,,,,,,,,
AM,1919,35,33063,,,,,,,,,,,,,,,,,
AM,1920,1061,33063,,,,,,,,,,,,,,,,,
AM,1921,42,33063,,,,,,,,,,,,,,,,,
AM,1922,82,33063,,,,,,,,,,,,,,,,,
AM,1923,830,33063,,,,,,,,,,,,,,,,,
AM,1924,248,33063,,,,,,,,,,,,,,,,,
AM,1925,342,33063,,,,,,,,,,,,,,,,,
AM,1926,17,33063,,,,,,,,,,,,,,,,,
AM,1927,113,33063,,,,,,,,,,,,,,,,,
AM,1928,64,33063,,,,,,,,,,,,,,,,,
AM,1929,149,33063,,,,,,,,,,,,,,,,,
AM,1930,210,33063,,,,,,,,,,,,,,,,,
AM,1931,154,33063,,,,,,,,,,,,,,,,,
AM,1932,74,33063,,,,,,,,,,,,,,,,,
AM,1933,358,33063,,,,,,,,,,,,,,,,,
AM,1934,39,33063,,,,,,,,,,,,,,,,,
AM,1935,145,33063,,,,,,,,,,,,,,,,,
AM,1936,135,33063,,,,,,,,,,,,,,,,,
AM,1937,267,33063,,,,,,,,,,,,,,,,,
AM,1938,116,33063,,,,,,,,,,,,,,,,,
AM,1939,135,33063,,,,,,,,,,,,,,,,,
AM,1940,10,33063,,,,,,,,,,,,,,,,,
AM,1941,70,33063,,,,,,,,,,,,,,,,,
AM,1942,11,33063,,,,,,,,,,,,,,,,,
AM,1943,1,33063,,,,,,,,,,,,,,,,,
AM,1944,27,33063,,,,,,,,,,,,,,,,,
AM,1945,17,33063,,,,,,,,,,,,,,,,,
AM,1946,3,33063,,,,,,,,,,,,,,,,,
AM,1947,102,33063,,,,,,,,,,,,,,,,,
AM,1948,90,33063,,,,,,,,,,,,,,,,,
AM,1949,34,33063,,,,,,,,,,,,,,,,,
AM,1950,10,33063,,,,,,,,,,,,,,,,,
AM,1951,9,33063,,,,,,,,,,,,,,,,,
AM,1952,9,33063,,,,,,,,,,,,,,,,,
AM,1953,71,33063,,,,,,,,,,,,,,,,,
AM,1954,575,33063,,,,,,,,,,,,,,,,,
AM,1955,41,33063,,,,,,,,,,,,,,,,,
AM,1956,3,33063,,,,,,,,,,,,,,,,,
AM,1957,47,33063,,,,,,,,,,,,,,,,,
AM,1958,5,33063,,,,,,,,,,,,,,,,,
AM,1959,2,33063,,,,,,,,,,,,,,,,,
AM,1960,5,33063,,,,,,,,,,,,,,,,,
AM,1961,5,33063,,,,,,,,,,,,,,,,,
AM,1962,73,33063,,,,,,,,,,,,,,,,,
AM,1963,4,33063,,,,,,,,,,,,,,,,,
AM,1964,7,33063,,,,,,,,,,,,,,,,,
AM,1965,15,33063,,,,,,,,,,,,,,,,,
AM,1966,10,33063,,,,,,,,,,,,,,,,,
AM,1967,12,33063,,,,,,,,,,,,,,,,,
AM,1968,19,33063,,,,,,,,,,,,,,,,,
AM,1969,12,33063,,,,,,,,,,,,,,,,,
AM,1970,28,33063,,,,,,,,,,,,,,,,,
AM,1971,33,33063,,,,,,,,,,,,,,,,,
AM,1972,596,33063,,,,,,,,,,,,,,,,,
AM,1973,76,33063,,,,,,,,,,,,,,,,,
AM,1974,216,33063,,,,,,,,,,,,,,,,,
AM,1975,115,33063,,,,,,,,,,,,,,,,,
AM,1976,107,33063,,,,,,,,,,,,,,,,,
AM,1977,40,33063,,,,,,,,,,,,,,,,,
AM,1978,109,33063,,,,,,,,,,,,,,,,,
AM,1979,6,33063,,,,,,,,,,,,,,,,,
AM,1980,320,33063,,,,,,,,,,,,,,,,,
AM,1981,145,33063,,,,,,,,,,,,,,,,,
AM,1982,131,33063,,,,,,,,,,,,,,,,,
AM,1983,171,33063,,,,,,,,,,,,,,,,,
AM,1985,1,33063,,,,,,,,,,,,,,,,,
AM,1986,4,33063,,,,,,,,,,,,,,,,,
AM,1987,2,33063,,,,,,,,,,,,,,,,,
AM,1991,1,33063,,,,,,,,,,,,,,,,,
AM,1997,64,33063,,,,,,,,,,,,,,,,,
AM,2016,2,33063,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AS,1753,71,85488,,,,,,,,,,,,,,,,,
AS,1760,2,85488,,,,,,,,,,,,,,,,,
AS,1772,5,85488,,,,,,,,,,,,,,,,,
AS,1780,2,85488,,,,,,,,,,,,,,,,,
AS,1786,2,85488,,,,,,,,,,,,,,,,,
AS,1797,1,85488,,,,,,,,,,,,,,,,,
AS,1800,2,85488,,,,,,,,,,,,,,,,,
AS,1801,10,85488,,,,,,,,,,,,,,,,,
AS,1805,8,85488,,,,,,,,,,,,,,,,,
AS,1810,1,85488,,,,,,,,,,,,,,,,,
AS,1813,1,85488,,,,,,,,,,,,,,,,,
AS,1814,2,85488,,,,,,,,,,,,,,,,,
AS,1816,2,85488,,,,,,,,,,,,,,,,,
AS,1821,2,85488,,,,,,,,,,,,,,,,,
AS,1824,3,85488,,,,,,,,,,,,,,,,,
AS,1825,8,85488,,,,,,,,,,,,,,,,,
AS,1826,4,85488,,,,,,,,,,,,,,,,,
AS,1827,3,85488,,,,,,,,,,,,,,,,,
AS,1830,2,85488,,,,,,,,,,,,,,,,,
AS,1832,1,85488,,,,,,,,,,,,,,,,,
AS,1833,25,85488,,,,,,,,,,,,,,,,,
AS,1835,6,85488,,,,,,,,,,,,,,,,,
AS,1837,3,85488,,,,,,,,,,,,,,,,,
AS,1838,20,85488,,,,,,,,,,,,,,,,,
AS,1840,2,85488,,,,,,,,,,,,,,,,,
AS,1841,5,85488,,,,,,,,,,,,,,,,,
AS,1842,15,85488,,,,,,,,,,,,,,,,,
AS,1843,77,85488,,,,,,,,,,,,,,,,,
AS,1844,13,85488,,,,,,,,,,,,,,,,,
AS,1845,21,85488,,,,,,,,,,,,,,,,,
AS,1846,35,85488,,,,,,,,,,,,,,,,,
AS,1847,54,85488,,,,,,,,,,,,,,,,,
AS,1848,47,85488,,,,,,,,,,,,,,,,,
AS,1849,18,85488,,,,,,,,,,,,,,,,,
AS,1850,12,85488,,,,,,,,,,,,,,,,,
AS,1851,34,85488,,,,,,,,,,,,,,,,,
AS,1852,4,85488,,,,,,,,,,,,,,,,,
AS,1853,38,85488,,,,,,,,,,,,,,,,,
AS,1854,23,85488,,,,,,,,,,,,,,,,,
AS,1855,27,85488,,,,,,,,,,,,,,,,,
AS,1856,51,85488,,,,,,,,,,,,,,,,,
AS,1857,50,85488,,,,,,,,,,,,,,,,,
AS,1858,6,85488,,,,,,,,,,,,,,,,,
AS,1859,1439,85488,,,,,,,,,,,,,,,,,
AS,1860,350,85488,,,,,,,,,,,,,,,,,
AS,1861,53,85488,,,,,,,,,,,,,,,,,
AS,1862,10,85488,,,,,,,,,,,,,,,,,
AS,1863,3,85488,,,,,,,,,,,,,,,,,
AS,1864,13,85488,,,,,,,,,,,,,,,,,
AS,1865,94,85488,,,,,,,,,,,,,,,,,
AS,1866,70,85488,,,,,,,,,,,,,,,,,
AS,1867,90,85488,,,,,,,,,,,,,,,,,
AS,1868,133,85488,,,,,,,,,,,,,,,,,
AS,1869,290,85488,,,,,,,,,,,,,,,,,
AS,1870,99,85488,,,,,,,,,,,,,,,,,
AS,1871,245,85488,,,,,,,,,,,,,,,,,
AS,1872,302,85488,,,,,,,,,,,,,,,,,
AS,1873,70,85488,,,,,,,,,,,,,,,,,
AS,1874,62,85488,,,,,,,,,,,,,,,,,
AS,1875,0,85488,,,,,,,,,,,,,,,,,
AS,1876,83,85488,,,,,,,,,,,,,,,,,
AS,1877,124,85488,,,,,,,,,,,,,,,,,
AS,1878,442,85488,,,,,,,,,,,,,,,,,
AS,1879,305,85488,,,,,,,,,,,,,,,,,
AS,1880,2600,85488,,,,,,,,,,,,,,,,,
AS,1881,178,85488,,,,,,,,,,,,,,,,,
AS,1882,194,85488,,,,,,,,,,,,,,,,,
AS,1883,294,85488,,,,,,,,,,,,,,,,,
AS,1884,162,85488,,,,,,,,,,,,,,,,,
AS,1885,160,85488,,,,,,,,,,,,,,,,,
AS,1886,255,85488,,,,,,,,,,,,,,,,,
AS,1887,434,85488,,,,,,,,,,,,,,,,,
